Ax, Ay, Az, Timestamp
124, 128, 154, 2023-09-24 11:34:56 PM
124, 128, 153, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:56 PM
122, 128, 154, 2023-09-24 11:34:56 PM
123, 128, 154, 2023-09-24 11:34:57 PM
122, 128, 154, 2023-09-24 11:34:57 PM
124, 128, 154, 2023-09-24 11:34:57 PM
123, 128, 154, 2023-09-24 11:34:57 PM
123, 128, 155, 2023-09-24 11:34:57 PM
123, 128, 155, 2023-09-24 11:34:57 PM
123, 128, 154, 2023-09-24 11:34:57 PM
123, 129, 154, 2023-09-24 11:34:57 PM
123, 
